rank,name,score,date
1,Sousou no Frieren,9.31,2025-04-05
2,Fullmetal Alchemist: Brotherhood,9.10,2025-04-05
3,Steins;Gate,9.07,2025-04-05
4,Shingeki no Kyojin Season 3 Part 2,9.05,2025-04-05
5,One Piece Fan Letter,9.05,2025-04-05
6,Gintama°,9.05,2025-04-05
7,Gintama: The Final,9.04,2025-04-05
8,Hunter x Hunter (2011),9.03,2025-04-05
9,Gintama',9.02,2025-04-05
10,Gintama': Enchousen,9.02,2025-04-05
11,Ginga Eiyuu Densetsu,9.01,2025-04-05
12,Bleach: Sennen Kessen-hen,9.00,2025-04-05
13,Gintama.,8.98,2025-04-05
14,Kaguya-sama wa Kokurasetai: Ultra Romantic,8.98,2025-04-05
15,Fruits Basket: The Final,8.95,2025-04-05
16,Clannad: After Story,8.93,2025-04-05
17,Gintama,8.93,2025-04-05
18,Koe no Katachi,8.93,2025-04-05
19,3-gatsu no Lion 2nd Season,8.91,2025-04-05
20,Code Geass: Hangyaku no Lelouch R2,8.91,2025-04-05
21,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.90,2025-04-05
22,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,8.88,2025-04-05
23,Monster,8.88,2025-04-05
24,Kusuriya no Hitorigoto,8.87,2025-04-05
25,Shingeki no Kyojin: The Final Season - Kanketsu-hen,8.87,2025-04-05
26,Owarimonogatari 2nd Season,8.86,2025-04-05
27,Violet Evergarden Movie,8.85,2025-04-05
28,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,8.83,2025-04-05
29,Kimi no Na wa.,8.83,2025-04-05
30,Kingdom 3rd Season,8.83,2025-04-05
31,Kusuriya no Hitorigoto 2nd Season,8.81,2025-04-05
32,Ore dake Level Up na Ken Season 2: Arise from the Shadow,8.81,2025-04-05
33,Vinland Saga Season 2,8.81,2025-04-05
34,Gintama. Shirogane no Tamashii-hen,8.81,2025-04-05
35,Hajime no Ippo,8.78,2025-04-05
36,Kizumonogatari III: Reiketsu-hen,8.78,2025-04-05
37,Mob Psycho 100 II,8.78,2025-04-05
38,Shingeki no Kyojin: The Final Season,8.78,2025-04-05
39,Sen to Chihiro no Kamikakushi,8.77,2025-04-05
40,Vinland Saga,8.77,2025-04-05
41,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.77,2025-04-05
42,Shingeki no Kyojin: The Final Season Part 2,8.76,2025-04-05
43,Jujutsu Kaisen 2nd Season,8.76,2025-04-05
44,Monogatari Series: Second Season,8.76,2025-04-05
45,Bocchi the Rock!,8.75,2025-04-05
46,Boku no Kokoro no Yabai Yatsu 2nd Season,8.75,2025-04-05
47,Cowboy Bebop,8.75,2025-04-05
48,Ashita no Joe 2,8.74,2025-04-05
49,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,8.74,2025-04-05
50,Kingdom 4th Season,8.73,2025-04-05
51,One Piece,8.73,2025-04-05
52,Shiguang Dailiren,8.73,2025-04-05
53,The First Slam Dunk,8.73,2025-04-05
54,Kimetsu no Yaiba: Yuukaku-hen,8.72,2025-04-05
55,Kingdom 5th Season,8.72,2025-04-05
56,Mushishi Zoku Shou 2nd Season,8.72,2025-04-05
57,Mob Psycho 100 III,8.71,2025-04-05
58,86 Part 2,8.71,2025-04-05
59,Hibike! Euphonium 3,8.71,2025-04-05
60,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,8.70,2025-04-05
61,Chi. Chikyuu no Undou ni Tsuite,8.70,2025-04-05
62,Code Geass: Hangyaku no Lelouch,8.70,2025-04-05
63,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,8.70,2025-04-05
