name,average_rank,average_score,oldest_date,newest_date
Sousou no Frieren,1.0,9.31,2025-03-25,2025-04-04
Fullmetal Alchemist: Brotherhood,2.0,9.1,2025-03-25,2025-04-04
Steins;Gate,3.0,9.07,2025-03-25,2025-04-04
Shingeki no Kyojin Season 3 Part 2,4.0,9.05,2025-03-25,2025-04-04
One Piece Fan Letter,5.0,9.05,2025-03-25,2025-04-04
Gintama°,6.0,9.05,2025-03-25,2025-04-04
Gintama: The Final,7.0,9.04,2025-03-25,2025-04-04
Hunter x Hunter (2011),8.0,9.03,2025-03-25,2025-04-04
Gintama',9.0,9.02,2025-03-25,2025-04-04
Gintama': Enchousen,10.0,9.02,2025-03-25,2025-04-04
Ginga Eiyuu Densetsu,11.0,9.01,2025-03-25,2025-04-04
Bleach: Sennen Kessen-hen,12.0,9.0,2025-03-25,2025-04-04
Gintama.,13.0,8.98,2025-03-25,2025-04-04
Kaguya-sama wa Kokurasetai: Ultra Romantic,14.0,8.98,2025-03-25,2025-04-04
Fruits Basket: The Final,15.0,8.95,2025-03-25,2025-04-04
Clannad: After Story,16.0,8.93,2025-03-25,2025-04-04
Gintama,17.0,8.93,2025-03-25,2025-04-04
Koe no Katachi,18.0,8.93,2025-03-25,2025-04-04
3-gatsu no Lion 2nd Season,19.0,8.91,2025-03-25,2025-04-04
Code Geass: Hangyaku no Lelouch R2,20.0,8.91,2025-03-25,2025-04-04
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,21.0,8.9,2025-03-25,2025-04-04
Gintama. Shirogane no Tamashii-hen - Kouhan-sen,22.27,8.88,2025-03-25,2025-04-04
Kusuriya no Hitorigoto,23.0,8.88,2025-03-25,2025-04-04
Monster,24.0,8.88,2025-03-25,2025-04-04
Shingeki no Kyojin: The Final Season - Kanketsu-hen,25.55,8.87,2025-03-25,2025-04-04
Owarimonogatari 2nd Season,26.55,8.86,2025-03-25,2025-04-04
Ore dake Level Up na Ken Season 2: Arise from the Shadow,26.82,8.86,2025-03-25,2025-04-04
Violet Evergarden Movie,27.64,8.85,2025-03-25,2025-04-04
Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,28.91,8.83,2025-03-25,2025-04-04
Kimi no Na wa.,29.64,8.83,2025-03-25,2025-04-04
Kingdom 3rd Season,30.64,8.83,2025-03-25,2025-04-04
Vinland Saga Season 2,32.64,8.81,2025-03-25,2025-04-04
Kusuriya no Hitorigoto 2nd Season,32.82,8.81,2025-03-25,2025-04-04
Gintama. Shirogane no Tamashii-hen,33.55,8.81,2025-03-25,2025-04-04
Hajime no Ippo,35.0,8.78,2025-03-25,2025-04-04
Kizumonogatari III: Reiketsu-hen,36.09,8.78,2025-03-25,2025-04-04
Mob Psycho 100 II,37.09,8.78,2025-03-25,2025-04-04
Shingeki no Kyojin: The Final Season,37.82,8.78,2025-03-25,2025-04-04
Sen to Chihiro no Kamikakushi,39.09,8.77,2025-03-25,2025-04-04
Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,40.27,8.77,2025-03-25,2025-04-04
Bocchi the Rock!,41.73,8.76,2025-03-25,2025-04-04
Vinland Saga,42.27,8.76,2025-03-25,2025-04-04
Shingeki no Kyojin: The Final Season Part 2,43.0,8.76,2025-03-25,2025-04-04
Boku no Kokoro no Yabai Yatsu 2nd Season,43.55,8.76,2025-03-25,2025-04-04
Jujutsu Kaisen 2nd Season,44.55,8.76,2025-03-25,2025-04-04
Monogatari Series: Second Season,45.55,8.76,2025-03-25,2025-04-04
Cowboy Bebop,47.0,8.75,2025-03-25,2025-04-04
Ashita no Joe 2,48.0,8.74,2025-03-25,2025-04-04
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,49.0,8.74,2025-03-25,2025-04-04
Kingdom 4th Season,50.0,8.73,2025-03-25,2025-04-04
One Piece,51.0,8.73,2025-03-25,2025-04-04
Shiguang Dailiren,52.0,8.73,2025-03-25,2025-04-04
The First Slam Dunk,53.0,8.73,2025-03-25,2025-04-04
Kimetsu no Yaiba: Yuukaku-hen,54.09,8.72,2025-03-25,2025-04-04
Kingdom 5th Season,55.09,8.72,2025-03-25,2025-04-04
Mushishi Zoku Shou 2nd Season,56.09,8.72,2025-03-25,2025-04-04
Hibike! Euphonium 3,57.45,8.72,2025-03-25,2025-04-04
86 Part 2,58.09,8.71,2025-03-25,2025-04-04
Mob Psycho 100 III,58.18,8.71,2025-03-25,2025-04-04
Bleach: Sennen Kessen-hen - Ketsubetsu-tan,61.09,8.7,2025-03-25,2025-04-04
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,61.36,8.7,2025-03-25,2025-04-04
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,61.64,8.7,2025-03-25,2025-04-04
Code Geass: Hangyaku no Lelouch,62.18,8.7,2025-03-25,2025-04-04
Chi. Chikyuu no Undou ni Tsuite,64.27,8.69,2025-03-25,2025-04-04
Mushishi Zoku Shou,64.73,8.69,2025-03-25,2025-04-04
Mo Dao Zu Shi: Wanjie Pian,66.27,8.68,2025-03-25,2025-04-04
Monogatari Series: Off & Monster Season,67.27,8.68,2025-03-25,2025-04-04
Bleach: Sennen Kessen-hen - Soukoku-tan,67.64,8.68,2025-03-25,2025-04-04
Great Teacher Onizuka,68.73,8.68,2025-03-25,2025-04-04
Violet Evergarden,69.82,8.68,2025-03-25,2025-04-04
Hajime no Ippo: New Challenger,71.0,8.67,2025-03-25,2025-04-04
Howl no Ugoku Shiro,72.0,8.67,2025-03-25,2025-04-04
Look Back,73.55,8.66,2025-03-25,2025-04-04
Mononoke Hime,74.0,8.66,2025-03-25,2025-04-04
Tian Guan Cifu Er,74.55,8.66,2025-03-25,2025-04-04
Fate/stay night Movie: Heaven's Feel - III. Spring Song,76.27,8.65,2025-03-25,2025-04-04
Mushishi,76.82,8.65,2025-03-25,2025-04-04
Odd Taxi,77.82,8.65,2025-03-25,2025-04-04
Made in Abyss,79.0,8.64,2025-03-25,2025-04-04
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,80.0,8.64,2025-03-25,2025-04-04
Shigatsu wa Kimi no Uso,81.18,8.64,2025-03-25,2025-04-04
Shiguang Dailiren II,82.18,8.64,2025-03-25,2025-04-04
Tengen Toppa Gurren Lagann,83.18,8.64,2025-03-25,2025-04-04
Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,83.33,8.63,2025-03-25,2025-04-04
Shingeki no Kyojin Season 3,84.18,8.63,2025-03-25,2025-04-04
Natsume Yuujinchou Shi,85.18,8.63,2025-03-25,2025-04-04
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,86.18,8.62,2025-03-25,2025-04-04
Ping Pong the Animation,87.18,8.62,2025-03-25,2025-04-04
Bungou Stray Dogs 5th Season,88.27,8.62,2025-03-25,2025-04-04
Death Note,89.27,8.62,2025-03-25,2025-04-04
Haikyuu!! Movie: Gomisuteba no Kessen,90.64,8.62,2025-03-25,2025-04-04
Haikyuu!! Second Season,91.09,8.62,2025-03-25,2025-04-04
Cyberpunk: Edgerunners,92.09,8.61,2025-03-25,2025-04-04
Hajime no Ippo: Rising,93.27,8.61,2025-03-25,2025-04-04
Made in Abyss Movie 3: Fukaki Tamashii no Reimei,94.27,8.61,2025-03-25,2025-04-04
Made in Abyss: Retsujitsu no Ougonkyou,95.27,8.61,2025-03-25,2025-04-04
Natsume Yuujinchou Roku,96.27,8.61,2025-03-25,2025-04-04
Kenpuu Denki Berserk,97.27,8.6,2025-03-25,2025-04-04
Dungeon Meshi,98.27,8.6,2025-03-25,2025-04-04
Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,99.27,8.59,2025-03-25,2025-04-04
Suzumiya Haruhi no Shoushitsu,100.0,8.59,2025-03-25,2025-04-04
Shin Evangelion Movie:||,100.0,8.59,2025-03-25,2025-04-04
